,condition,targetName,phase_extended,variance
0,control,hand_selected_004,post,2.2925144743515444
1,control,hand_selected_004,pre,2.4661325033885237
2,control,hand_selected_005,post,1.6450363567974675
3,control,hand_selected_005,pre,2.7157566404082467
4,control,hand_selected_006,post,1.6472024481425138
5,control,hand_selected_006,pre,2.7083663100965287
6,control,hand_selected_008,post,1.908675105620586
7,control,hand_selected_008,pre,2.620401758735698
8,control,hand_selected_009,post,1.154901962220209
9,control,hand_selected_009,pre,2.3459081868314007
10,control,hand_selected_011,post,1.7105139392536957
11,control,hand_selected_011,pre,2.215969667697514
12,control,hand_selected_012,post,2.028450977115094
13,control,hand_selected_012,pre,3.0751209925688427
14,control,hand_selected_016,post,2.2491133182479257
15,control,hand_selected_016,pre,3.289482714306913
16,repeated,hand_selected_004,post,1.2669087146261684
17,repeated,hand_selected_004,pre,2.4085382455328572
18,repeated,hand_selected_004,repetition 1,1.5741580394453905
19,repeated,hand_selected_004,repetition 2,1.0885003062693444
20,repeated,hand_selected_005,post,1.0637063055410216
21,repeated,hand_selected_005,pre,2.0526633213872816
22,repeated,hand_selected_005,repetition 1,2.032024569490962
23,repeated,hand_selected_005,repetition 2,1.8988352582275272
24,repeated,hand_selected_006,post,2.0939908279921076
25,repeated,hand_selected_006,pre,2.6744886644502284
26,repeated,hand_selected_006,repetition 1,2.2437650640682154
27,repeated,hand_selected_006,repetition 2,2.9354768091631285
28,repeated,hand_selected_008,post,1.9086202580546296
29,repeated,hand_selected_008,pre,2.450447605372307
30,repeated,hand_selected_008,repetition 1,2.5278716559228243
31,repeated,hand_selected_008,repetition 2,2.4011448022207933
32,repeated,hand_selected_009,post,1.0613486461795332
33,repeated,hand_selected_009,pre,2.1754423568386816
34,repeated,hand_selected_009,repetition 1,1.6716521279970697
35,repeated,hand_selected_009,repetition 2,2.0623520494219076
36,repeated,hand_selected_011,post,2.0151654109507544
37,repeated,hand_selected_011,pre,2.609190679404817
38,repeated,hand_selected_011,repetition 1,3.447717606953163
39,repeated,hand_selected_011,repetition 2,1.983956112301976
40,repeated,hand_selected_012,post,1.2301820235419387
41,repeated,hand_selected_012,pre,1.875152217587237
42,repeated,hand_selected_012,repetition 1,0.7966210219809389
43,repeated,hand_selected_012,repetition 2,0.525449670158964
44,repeated,hand_selected_016,post,1.9826332144343575
45,repeated,hand_selected_016,pre,2.6328565990282464
46,repeated,hand_selected_016,repetition 1,2.0399096740908584
47,repeated,hand_selected_016,repetition 2,2.1312384742607744
